Descrição;Empenhado;Liquidado;Pago;Agrupador
"                31901116 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RGPS";5.967.621,41;5.078.863,99;5.078.863,99;CDSUBELEMENTODESPESA
"                31901115 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RPPS";14.000,00;7.929,15;7.929,15;CDSUBELEMENTODESPESA
"                31901118 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RGPS";20.830,00;16.245,00;16.245,00;CDSUBELEMENTODESPESA
"                31901117 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RPPS";110.033,03;93.193,07;93.193,07;CDSUBELEMENTODESPESA
"                31901123 - GRATIFICAÇÕES POR ATIVIDADES EXPOSITIVA - RPPS";8.000,00;4.614,08;4.614,08;CDSUBELEMENTODESPESA
"                31901150 - Incorporação RPPS";200.558,54;172.027,46;172.027,46;CDSUBELEMENTODESPESA
"                31901130 - SUBSÍDIOS - Vencimentos e Salários RGPS";408.908,51;335.519,73;335.519,73;CDSUBELEMENTODESPESA
"                31901101 - VENCIMENTOS E SALÁRIOS - RPPS";1.304.512,71;1.187.332,32;1.187.332,32;CDSUBELEMENTODESPESA
"                31901102 - VENCIMENTOS E SALÁRIOS - RGPS";10.879.344,55;10.750.432,06;10.750.432,06;CDSUBELEMENTODESPESA
"            - 13 - Obrigações Patronais";1.810.000,00;1.726.909,49;1.659.833,64;CDELEMENTODESPESA
"                31901301 - Contribuições Para o Regime Geral de Previdência - INSS";1.810.000,00;1.726.909,49;1.659.833,64;CDSUBELEMENTODESPESA
"            - 16 - Outras Despesas Variáveis - Pessoal Civil";287.070,29;182.234,26;182.234,26;CDELEMENTODESPESA
"                31901608 - JETON - RGPS";9.000,00;2.517,44;2.517,44;CDSUBELEMENTODESPESA
"                31901607 - JETON - RPPS";3.000,00;786,70;786,70;CDSUBELEMENTODESPESA
"                31901616 - Produtividade - RGPS";83.661,42;33.661,42;33.661,42;CDSUBELEMENTODESPESA
"                31901606 - Substituição - RGPS";158.057,54;127.005,86;127.005,86;CDSUBELEMENTODESPESA
"                31901605 - Substituição - RPPS";33.351,33;18.262,84;18.262,84;CDSUBELEMENTODESPESA
"            - 4 - Contratação por Tempo Determinado";99.562,96;70.962,19;68.907,74;CDELEMENTODESPESA
"                31900413 - Contribuições previdenciárias - INSS - Contratação REDA";30.000,00;12.315,73;10.261,28;CDSUBELEMENTODESPESA
"                31900411 - Férias pagamento antecipado - Contratação REDA";1.696,00;1.696,00;1.696,00;CDSUBELEMENTODESPESA
"                31900428 - Outras contratações REDA/Tempo Determinado - Outras contratações Temporárias";3.000,00;2.603,70;2.603,70;CDSUBELEMENTODESPESA
"                31900401 - Salário - Contratação REDA";48.288,00;39.856,00;39.856,00;CDSUBELEMENTODESPESA
"                31900406 - Serviços extraordinários - Contratação REDA";16.578,96;14.490,76;14.490,76;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";4.620,60;4.620,60;4.620,60;CDELEMENTODESPESA
"                31909202 - VENCIMENTOS E SALÁRIOS - RGPS";4.620,60;4.620,60;4.620,60;CDSUBELEMENTODESPESA
"            - 95 - Indenização pela Execução de Trabalho de Campo";546.610,34;456.598,25;456.598,25;CDELEMENTODESPESA
"                31909504 - Operaçao Carnaval - RGPS";243.014,92;243.014,92;243.014,92;CDSUBELEMENTODESPESA
"                31909503 - Operação Carnaval - RPPS";19.614,25;19.614,25;19.614,25;CDSUBELEMENTODESPESA
"                31909502 - Operaçao Chuva - RGPS";172.166,29;82.705,38;82.705,38;CDSUBELEMENTODESPESA
"                31909501 - Operação Chuva - RPPS";16.461,08;16.461,08;16.461,08;CDSUBELEMENTODESPESA
"                31909506 - Operaçoes Especiais - RGPS";90.000,00;89.448,82;89.448,82;CDSUBELEMENTODESPESA
"                31909505 - Operaçoes Especiais - RPPS";5.353,80;5.353,80;5.353,80;CDSUBELEMENTODESPESA
"          - 91 - Aplicação Direta Decorrente de Operação Intra-Orçamentária";628.690,77;526.555,38;523.590,36;CDMODALIDADEAPLICACAO
"            - 13 - Obrigações Patronais";628.690,77;526.555,38;523.590,36;CDELEMENTODESPESA
"                31911307 - Contribuição Patronal Extraordinária para Cobertura de Déficit Atuarial";21.248,09;16.985,66;14.020,64;CDSUBELEMENTODESPESA
"                31911302 - Contribuições para o RPPS FUNFIN";607.442,68;509.569,72;509.569,72;CDSUBELEMENTODESPESA
"        - 33 - Outras Despesas Correntes";23.324.076,98;20.206.423,90;19.571.153,37;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";23.324.076,98;20.206.423,90;19.571.153,37;CDMODALIDADEAPLICACAO
"            - 14 - Diárias - Pessoal Civil";91.327,23;91.327,23;91.327,23;CDELEMENTODESPESA
"                33901402 - Diárias Viagens Internacionais";86.904,63;86.904,63;86.904,63;CDSUBELEMENTODESPESA
"                33901401 - Diárias Viagens Nacionais";4.422,60;4.422,60;4.422,60;CDSUBELEMENTODESPESA
"            - 30 - Material de Consumo";1.636.505,64;1.033.110,34;1.035.331,64;CDELEMENTODESPESA
"                33903002 - Combustíveis";1.034.090,92;780.432,75;780.432,75;CDSUBELEMENTODESPESA
"                33903038 - Gás";3.550,00;3.550,00;3.550,00;CDSUBELEMENTODESPESA
"                33903012 - Gêneros Alimentícios - Outros";90.941,76;66.761,56;64.493,56;CDSUBELEMENTODESPESA
"                33903010 - Material Ambulatorial e Hospitalar";3.804,00;3.804,00;5.325,60;CDSUBELEMENTODESPESA
"                33903003 - Material de Escritório / Material de Expediente";87.808,34;33.996,24;33.996,24;CDSUBELEMENTODESPESA
"                33903017 - Material de Limpeza e Higiene";96.083,66;42.766,06;42.766,06;CDSUBELEMENTODESPESA
"                33903005 - Material de Processamento de Dados e Eletrônico";0,00;13.504,60;13.504,60;CDSUBELEMENTODESPESA
"                33903016 - Material Elétrico e Eletrônico";1.206,00;591,00;591,00;CDSUBELEMENTODESPESA
"                33903001 - Suprimentos de Informática";8.077,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903026 - Vestuário e Calçados";310.943,96;87.704,13;90.671,83;CDSUBELEMENTODESPESA
"            - 33 - Passagens e Despesas com Locomoção";105.613,34;44.074,85;44.074,85;CDELEMENTODESPESA
"                33903302 - Passagens Internacionais";35.000,00;25.368,64;25.368,64;CDSUBELEMENTODESPESA
"                33903301 - Passagens Nacionais";70.613,34;18.706,21;18.706,21;CDSUBELEMENTODESPESA
"            - 36 - Outros Serviços de Terceiros - Pessoa Física";660.638,31;601.989,10;626.589,10;CDELEMENTODESPESA
"                33903603 - Estagiários e Monitores";268.520,00;226.747,12;226.747,12;CDSUBELEMENTODESPESA
"                33903601 - Locação de Imóvel";392.118,31;375.241,98;399.841,98;CDSUBELEMENTODESPESA
"            - 37 - Locação de Mão de obra";15.951.320,48;15.533.314,01;14.959.946,02;CDELEMENTODESPESA
"                33903709 - Apoio temporário para festas populares";609.458,40;421.711,60;421.711,60;CDSUBELEMENTODESPESA
"                33903730 - Serviço Administrativo - Verbas Eventuais Férias";-729,69;0,00;0,00;CDSUBELEMENTODESPESA
"                33903704 - Serviço Administrativo";12.276.669,31;11.384.977,21;11.055.036,55;CDSUBELEMENTODESPESA
"                33903732 - Serviço Administrativo - Verbas Eventuais Rescisão";-103,28;0,00;0,00;CDSUBELEMENTODESPESA
"                33903713 - Serviço Administrativo - Verbas Eventuais";1.440.858,48;1.142.028,32;1.069.689,34;CDSUBELEMENTODESPESA
"                33903718 - Serviço de Motoboy e Motorista - Verbas Eventuais";241.025,47;570.528,83;541.733,17;CDSUBELEMENTODESPESA
"                33903708 - Serviço de Motoboy e Motorista";735.150,80;1.015.397,90;873.105,21;CDSUBELEMENTODESPESA
"                33903744 - Serviço de Motoboy e Motorista - Verbas Eventuais Rescisão";-238.317,18;0,00;0,00;CDSUBELEMENTODESPESA
"                33903721 - Serviços de Limpeza - Verbas Eventuais Férias";-20.456,54;26.701,60;26.701,60;CDSUBELEMENTODESPESA
"                33903722 - Serviços de Limpeza - Verbas Eventuais 13 Salário";-1.538,86;0,00;0,00;CDSUBELEMENTODESPESA
"                33903701 - Serviços de Limpeza";873.753,78;916.675,43;916.675,43;CDSUBELEMENTODESPESA
"                33903723 - Serviços de Limpeza - Verbas Eventuais Rescisão";-34.239,86;0,00;0,00;CDSUBELEMENTODESPESA
"                33903710 - Serviços de Limpeza - Verbas Eventuais";69.789,65;55.293,12;55.293,12;CDSUBELEMENTODESPESA
"            - 39 - Outros Serviços de Terceiros - Pessoa Jurídica";3.478.519,27;1.966.955,62;1.916.908,12;CDELEMENTODESPESA
"                33903988 - Adiantamentos Alimentação Prefeito";19.580,77;16.780,77;16.780,77;CDSUBELEMENTODESPESA
"                33903994 - Adiantamentos Alimentação Secretario";2.396,30;796,30;796,30;CDSUBELEMENTODESPESA
"                33903986 - Adiantamentos Despesa Miudas";1.598,10;798,10;798,10;CDSUBELEMENTODESPESA
"                33903980 - Adiantamentos Reparo e Conservação";8.983,78;5.983,78;5.983,78;CDSUBELEMENTODESPESA
"                33903938 - Assinaura de Periódicos e Anuidades";97.244,90;95.864,50;95.864,50;CDSUBELEMENTODESPESA
"                33903918 - Condomínio de Imóveis";59.220,41;41.909,10;41.909,10;CDSUBELEMENTODESPESA
"                33903909 - Energia Elétrica";6.000,00;1.401,76;1.401,76;CDSUBELEMENTODESPESA
"                33903950 - Fornecimento de Refeições e Vale Refeição";1.300,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903903 - Locação de Imóvel";760.381,44;741.669,44;741.669,44;CDSUBELEMENTODESPESA
"                33903914 - Locação de Máquinas e Equipamentos";172.013,60;107.458,51;107.458,51;CDSUBELEMENTODESPESA
"                33903902 - Locação de Veículos";2.104.333,08;837.087,23;822.658,90;CDSUBELEMENTODESPESA
"                33903972 - Manutenção Equipamentos e Máquinas";14.018,48;7.836,42;5.224,28;CDSUBELEMENTODESPESA
"                33903930 - Outros Serviços de Manutenção e Conservação";20.949,15;11.289,96;11.289,96;CDSUBELEMENTODESPESA
"                33903934 - Serviço de Som, Vídeo e Escuta de Rádio";70.214,40;20.160,00;20.160,00;CDSUBELEMENTODESPESA
"                33903912 - Serviços de Postagem, Entregas e Cobranças";13.178,88;1.445,17;1.445,17;CDSUBELEMENTODESPESA
"                33903942 - Serviços de Transporte";27.830,48;0,00;0,00;CDSUBELEMENTODESPESA
"                33903907 - Serviços Gráficos";1.025,77;0,00;0,00;CDSUBELEMENTODESPESA
"                33903975 - Serviços Técnicos Profissionais";605,00;1.399,00;1.399,00;CDSUBELEMENTODESPESA
"                33903908 - Serviços Telefonia Fixa, Móvel Sem Pacote de Dados";20.232,07;41.622,08;22.893,05;CDSUBELEMENTODESPESA
"                33903931 - Seviços de Limpeza";77.412,66;33.453,50;19.175,50;CDSUBELEMENTODESPESA
"            - 40 - Serviços de Tecnologia da Informação e Comunicação - PJ";826.377,43;464.228,21;425.748,41;CDELEMENTODESPESA
"                33904006 - Emissão de Certificado Digital";65,00;65,00;65,00;CDSUBELEMENTODESPESA
"                33904001 - Locação de Equip Informática";302.005,19;222.535,02;222.535,02;CDSUBELEMENTODESPESA
"                33904003 - Locação de Software";168.578,00;59.724,00;56.824,00;CDSUBELEMENTODESPESA
"                33904009 - Outsourcing de Impressão";119.040,00;95.330,00;79.850,00;CDSUBELEMENTODESPESA
"                33904002 - Serviços Telefonia Fixa, Móvel Com Pacote de Dados";236.689,24;86.574,19;66.474,39;CDSUBELEMENTODESPESA
"            - 46 - Auxílio - Alimentação";440.060,00;349.006,89;349.006,89;CDELEMENTODESPESA
"                33904601 - Auxílio - Alimentação - RPPS";197.600,00;135.239,16;135.239,16;CDSUBELEMENTODESPESA
"                33904602 - Auxílio - Alimentação - RGPS";242.460,00;213.767,73;213.767,73;CDSUBELEMENTODESPESA
"            - 47 - Obrigações Tributárias e Contributivas";5.234,85;5.234,85;5.234,85;CDELEMENTODESPESA
"                33904710 - IPTU";5.234,85;5.234,85;5.234,85;CDSUBELEMENTODESPESA
"            - 49 - Auxílio - Transporte";60.320,00;52.857,72;52.857,72;CDELEMENTODESPESA
"                33904901 - Auxílio - Transporte RPPS";49.320,00;45.546,59;45.546,59;CDSUBELEMENTODESPESA
"                33904902 - Auxílio - Transporte RGPS";11.000,00;7.311,13;7.311,13;CDSUBELEMENTODESPESA
"            - 8 - Outros Benefícios Assistenciais do servidor ou do Militar";34.400,00;30.564,65;30.564,65;CDELEMENTODESPESA
"                33900801 - Auxílio Educação - RPPS";34.400,00;30.564,65;30.564,65;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";19.385,26;19.385,26;19.188,72;CDELEMENTODESPESA
"                33909207 - Locação de Mão-de-Obra";3.196,71;3.196,71;3.000,17;CDSUBELEMENTODESPESA
"                33909213 - Serviço de Telefonia Fixo e Móvel Sem Pacote de Dados";16.188,55;16.188,55;16.188,55;CDSUBELEMENTODESPESA
"            - 93 - Indenizações e Restituições";14.375,17;14.375,17;14.375,17;CDELEMENTODESPESA
"                33909306 - Restituição de Valor";14.375,17;14.375,17;14.375,17;CDSUBELEMENTODESPESA
"      - 4 - Despesas de Capital";122.668,77;213.753,00;204.297,84;CDCATEGORIAECONOMICA
"        - 44 - Investimentos";122.668,77;213.753,00;204.297,84;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";122.668,77;213.753,00;204.297,84;CDMODALIDADEAPLICACAO
"            - 52 - Equipamentos e Material Permanente";122.668,77;213.753,00;204.297,84;CDELEMENTODESPESA
"                44905208 - Aparelhos e Utensílios de Copa e Cozinha";4.839,20;0,00;0,00;CDSUBELEMENTODESPESA
"                44905203 - Bens Móveis - Máquinas, Tratores e Ferramentas";87.541,98;0,00;0,00;CDSUBELEMENTODESPESA
"                44905204 - Bens Móveis - Móveis e Utensílios";12.720,00;20.538,80;11.083,64;CDSUBELEMENTODESPESA
"                44905212 - Equipamento de Refrigeração";6.331,39;0,00;0,00;CDSUBELEMENTODESPESA
"                44905213 - Equipamento para Áudio, Vídeo e Foto";8.539,20;8.539,20;8.539,20;CDSUBELEMENTODESPESA
"                44905201 - Equipamentos de Processamentos de Dados";2.697,00;172.875,00;172.875,00;CDSUBELEMENTODESPESA
"                44905217 - Equipamentos de Segurança";0,00;11.800,00;11.800,00;CDSUBELEMENTODESPESA
" - 220002 - UG GABVP - Gabinete da Vice Prefeitura";1.769.347,89;1.732.288,41;1.720.670,27;CDUNIDADEGESTORA
"    - 4 - Administração";1.769.347,89;1.732.288,41;1.720.670,27;CDFUNCAO
"      - 3 - Despesas Correntes";1.769.347,89;1.732.288,41;1.720.670,27;CDCATEGORIAECONOMICA
"        - 31 - Pessoal e Encargos Sociais";844.654,77;830.067,54;851.187,53;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";844.654,77;830.067,54;851.187,53;CDMODALIDADEAPLICACAO
"            - 11 - Vencimentos e Vantagens Fixas - Pessoal Civil";689.851,99;679.239,49;679.239,49;CDELEMENTODESPESA
"                31901148 - 13º Salário - RGPS";29.720,22;29.720,22;29.720,22;CDSUBELEMENTODESPESA
"                31901126 - COMPLEMENTAÇÃO SALARIAL - RGPS";5.489,95;2.472,90;2.472,90;CDSUBELEMENTODESPESA
"                31901145 - FÉRIAS - ABONO CONSTITUCIONAL - RGPS";7.399,11;7.067,31;7.067,31;CDSUBELEMENTODESPESA
"                31901116 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RGPS";421.325,08;416.280,30;416.280,30;CDSUBELEMENTODESPESA
"                31901130 - SUBSÍDIOS - Vencimentos e Salários RGPS";114.673,24;114.672,53;114.672,53;CDSUBELEMENTODESPESA
"                31901102 - VENCIMENTOS E SALÁRIOS - RGPS";111.244,39;109.026,23;109.026,23;CDSUBELEMENTODESPESA
"            - 13 - Obrigações Patronais";115.729,79;115.729,73;136.849,72;CDELEMENTODESPESA
"                31901301 - Contribuições Para o Regime Geral de Previdência - INSS";115.729,79;115.729,73;136.849,72;CDSUBELEMENTODESPESA
"            - 95 - Indenização pela Execução de Trabalho de Campo";39.072,99;35.098,32;35.098,32;CDELEMENTODESPESA
"                31909504 - Operaçao Carnaval - RGPS";16.223,64;16.223,64;16.223,64;CDSUBELEMENTODESPESA
"                31909502 - Operaçao Chuva - RGPS";18.000,00;14.025,33;14.025,33;CDSUBELEMENTODESPESA
"                31909506 - Operaçoes Especiais - RGPS";4.849,35;4.849,35;4.849,35;CDSUBELEMENTODESPESA
"        - 33 - Outras Despesas Correntes";924.693,12;902.220,87;869.482,74;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";924.693,12;902.220,87;869.482,74;CDMODALIDADEAPLICACAO
"            - 14 - Diárias - Pessoal Civil";67.456,57;67.456,57;67.456,57;CDELEMENTODESPESA
"                33901402 - Diárias Viagens Internacionais";67.456,57;67.456,57;67.456,57;CDSUBELEMENTODESPESA
"            - 30 - Material de Consumo";60.952,60;57.404,42;57.404,42;CDELEMENTODESPESA
"                33903002 - Combustíveis";60.000,00;56.451,82;56.451,82;CDSUBELEMENTODESPESA
"                33903026 - Vestuário e Calçados";952,60;952,60;952,60;CDSUBELEMENTODESPESA
"            - 33 - Passagens e Despesas com Locomoção";53.529,03;51.296,91;51.296,91;CDELEMENTODESPESA
"                33903302 - Passagens Internacionais";24.904,28;24.904,28;24.904,28;CDSUBELEMENTODESPESA
"                33903301 - Passagens Nacionais";28.624,75;26.392,63;26.392,63;CDSUBELEMENTODESPESA
"            - 36 - Outros Serviços de Terceiros - Pessoa Física";12.777,00;10.108,02;10.108,02;CDELEMENTODESPESA
"                33903603 - Estagiários e Monitores";12.777,00;10.108,02;10.108,02;CDSUBELEMENTODESPESA
"            - 37 - Locação de Mão de obra";513.245,10;580.681,56;551.607,59;CDELEMENTODESPESA
"                33903704 - Serviço Administrativo";443.245,10;501.932,08;472.858,11;CDSUBELEMENTODESPESA
"                33903708 - Serviço de Motoboy e Motorista";70.000,00;78.749,48;78.749,48;CDSUBELEMENTODESPESA
"            - 39 - Outros Serviços de Terceiros - Pessoa Jurídica";154.566,02;88.469,61;85.066,57;CDELEMENTODESPESA
"                33903990 - Adiantamentos Alimentação Vice Prefeito";2.704,46;1.704,46;1.704,46;CDSUBELEMENTODESPESA
"                33903902 - Locação de Veículos";151.861,56;86.765,15;83.362,11;CDSUBELEMENTODESPESA
"            - 40 - Serviços de Tecnologia da Informação e Comunicação - PJ";16.980,00;11.313,07;11.051,95;CDELEMENTODESPESA
"                33904009 - Outsourcing de Impressão";15.480,00;7.740,00;7.740,00;CDSUBELEMENTODESPESA
"                33904002 - Serviços Telefonia Fixa, Móvel Com Pacote de Dados";1.500,00;3.573,07;3.311,95;CDSUBELEMENTODESPESA
"            - 46 - Auxílio - Alimentação";39.520,00;29.866,44;29.866,44;CDELEMENTODESPESA
"                33904602 - Auxílio - Alimentação - RGPS";39.520,00;29.866,44;29.866,44;CDSUBELEMENTODESPESA
"            - 49 - Auxílio - Transporte";4.390,00;4.347,47;4.347,47;CDELEMENTODESPESA
"                33904902 - Auxílio - Transporte RGPS";4.390,00;4.347,47;4.347,47;CDSUBELEMENTODESPESA
"            - 93 - Indenizações e Restituições";1.276,80;1.276,80;1.276,80;CDELEMENTODESPESA
"                33909320 - Ressarcimento de Despesa de Diária";1.276,80;1.276,80;1.276,80;CDSUBELEMENTODESPESA
" - 230002 - UG PGMS - Procuradoria Geral do Município";36.297.096,15;35.495.825,33;35.455.713,79;CDUNIDADEGESTORA
"    - 2 - Judiciária";36.297.096,15;35.495.825,33;35.455.713,79;CDFUNCAO
"      - 3 - Despesas Correntes";36.236.459,90;35.290.565,91;35.250.454,37;CDCATEGORIAECONOMICA
"        - 31 - Pessoal e Encargos Sociais";31.960.920,52;30.767.360,22;30.727.248,68;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";26.656.025,66;25.709.544,46;25.703.475,48;CDMODALIDADEAPLICACAO
"            - 11 - Vencimentos e Vantagens Fixas - Pessoal Civil";23.023.685,67;22.601.783,64;22.601.783,64;CDELEMENTODESPESA
"                31901148 - 13º Salário - RGPS";10.547,28;10.547,28;10.547,28;CDSUBELEMENTODESPESA
"                31901147 - 13º Salário - RPPS";765.798,36;765.798,36;765.798,36;CDSUBELEMENTODESPESA
"                31901107 - ABONO PERMANÊNCIA - RPPS";760.000,00;752.585,27;752.585,27;CDSUBELEMENTODESPESA
"                31901125 - COMPLEMENTAÇÃO SALARIAL - RPPS";67.531,07;53.779,51;53.779,51;CDSUBELEMENTODESPESA
"                31901126 - COMPLEMENTAÇÃO SALARIAL - RGPS";6.500,00;3.207,54;3.207,54;CDSUBELEMENTODESPESA
"                31901141 - FÉRIAS - ABONO CONSTITUCIONAL - RPPS";638.346,33;638.346,33;638.346,33;CDSUBELEMENTODESPESA
"                31901145 - FÉRIAS - ABONO CONSTITUCIONAL - RGPS";13.642,33;13.642,33;13.642,33;CDSUBELEMENTODESPESA
"                31901153 - FÉRIAS - RPPS";4.033.636,44;4.033.636,44;4.033.636,44;CDSUBELEMENTODESPESA
"                31901121 - GRATIFICAÇÃO DE TEMPO DE SERVIÇO - RPPS";1.348.000,00;1.341.440,30;1.341.440,30;CDSUBELEMENTODESPESA
"                31901116 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RGPS";290.000,00;158.940,65;158.940,65;CDSUBELEMENTODESPESA
"                31901115 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RPPS";110.000,00;109.642,28;109.642,28;CDSUBELEMENTODESPESA
"                31901118 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RGPS";19.000,00;9.780,96;9.780,96;CDSUBELEMENTODESPESA
"                31901117 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RPPS";80.000,00;79.088,34;79.088,34;CDSUBELEMENTODESPESA
"                31901150 - Incorporação RPPS";920.000,00;905.463,53;905.463,53;CDSUBELEMENTODESPESA
"                31901155 - SALÁRIO MATERNIDADE - RGPS";3.000,00;0,00;0,00;CDSUBELEMENTODESPESA
"                31901129 - SUBSÍDIOS RPPS";65.000,00;52.227,12;52.227,12;CDSUBELEMENTODESPESA
"                31901102 - VENCIMENTOS E SALÁRIOS - RGPS";94.000,00;45.687,82;45.687,82;CDSUBELEMENTODESPESA
"                31901101 - VENCIMENTOS E SALÁRIOS - RPPS";13.798.683,86;13.627.969,58;13.627.969,58;CDSUBELEMENTODESPESA
"            - 13 - Obrigações Patronais";60.000,00;50.419,06;53.778,94;CDELEMENTODESPESA
"                31901301 - Contribuições Para o Regime Geral de Previdência - INSS";60.000,00;50.419,06;53.778,94;CDSUBELEMENTODESPESA
"            - 16 - Outras Despesas Variáveis - Pessoal Civil";3.163.152,26;2.666.670,51;2.666.670,51;CDELEMENTODESPESA
"                31901607 - JETON - RPPS";34.000,00;27.360,00;27.360,00;CDSUBELEMENTODESPESA
"                31901624 - Licença Prêmio Pecúnia - RPPS";2.428.652,26;1.952.215,80;1.952.215,80;CDSUBELEMENTODESPESA
"                31901615 - Produtividade - RPPS";680.000,00;675.768,59;675.768,59;CDSUBELEMENTODESPESA
"                31901606 - Substituição - RGPS";500,00;349,93;349,93;CDSUBELEMENTODESPESA
"                31901605 - Substituição - RPPS";20.000,00;10.976,19;10.976,19;CDSUBELEMENTODESPESA
"            - 4 - Contratação por Tempo Determinado";135.266,00;122.290,77;119.141,39;CDELEMENTODESPESA
"                31900413 - Contribuições previdenciárias - INSS - Contratação REDA";25.000,00;21.714,40;18.565,02;CDSUBELEMENTODESPESA
"                31900410 - Férias abono constitucional - Contratação REDA";5.883,00;5.883,00;5.883,00;CDSUBELEMENTODESPESA
"                31900411 - Férias pagamento antecipado - Contratação REDA";5.883,00;5.883,00;5.883,00;CDSUBELEMENTODESPESA
"                31900401 - Salário - Contratação REDA";90.000,00;85.110,02;85.110,02;CDSUBELEMENTODESPESA
"                31900406 - Serviços extraordinários - Contratação REDA";8.500,00;3.700,35;3.700,35;CDSUBELEMENTODESPESA
"            - 7 - Contribuição a Entidades Fechadas de Previdência";37.000,00;31.458,75;25.179,27;CDELEMENTODESPESA
"                31900701 - Contribuição Patronal Previdência Complementar";37.000,00;31.458,75;25.179,27;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";216.562,44;216.562,44;216.562,44;CDELEMENTODESPESA
"                31909207 - ABONO PERMANÊNCIA - RPPS";216.016,59;216.016,59;216.016,59;CDSUBELEMENTODESPESA
"                31909202 - VENCIMENTOS E SALÁRIOS - RGPS";380,74;380,74;380,74;CDSUBELEMENTODESPESA
"                31909201 - VENCIMENTOS E SALÁRIOS - RPPS";165,11;165,11;165,11;CDSUBELEMENTODESPESA
"            - 95 - Indenização pela Execução de Trabalho de Campo";20.359,29;20.359,29;20.359,29;CDELEMENTODESPESA
"                31909504 - Operaçao Carnaval - RGPS";3.646,44;3.646,44;3.646,44;CDSUBELEMENTODESPESA
"                31909503 - Operação Carnaval - RPPS";16.712,85;16.712,85;16.712,85;CDSUBELEMENTODESPESA
"          - 91 - Aplicação Direta Decorrente de Operação Intra-Orçamentária";5.304.894,86;5.057.815,76;5.023.773,20;CDMODALIDADEAPLICACAO
"            - 13 - Obrigações Patronais";5.304.894,86;5.057.815,76;5.023.773,20;CDELEMENTODESPESA
"                31911307 - Contribuição Patronal Extraordinária para Cobertura de Déficit Atuarial";190.480,48;163.155,36;136.319,99;CDSUBELEMENTODESPESA
"                31911302 - Contribuições para o RPPS FUNFIN";5.100.000,00;4.880.246,02;4.880.246,02;CDSUBELEMENTODESPESA
"                31911309 - Contribuições para o RPPS FUNPREV";14.414,38;14.414,38;7.207,19;CDSUBELEMENTODESPESA
"        - 33 - Outras Despesas Correntes";4.275.539,38;4.523.205,69;4.523.205,69;CDGRUPODESPESA
